TC_ID,Title,Type,Priority,Preconditions,Input_Code,Input_Type,Input_DiscountValue,Input_MinOrderAmount,Input_ExpiredAt,Input_MaxUsesPerUser,Steps,Expected_Result,Notes
TC-COUPON-ADM-01,Create valid percent coupon,Positive,High,"Logged in as admin; code not yet in use",WELCOME20,percent,20,100000,2099-12-31,1,"1. Go to Mã Giảm Giá tab 2. Fill all fields 3. Click Tạo mã","New row appears in table: WELCOME20 | Phần trăm | 20% | 100.000 ₫ | 2099-12-31 | 1 lần; form resets to blank","Baseline happy path for percent type"
TC-COUPON-ADM-02,Create valid fixed-amount coupon,Positive,High,"Logged in as admin; code not yet in use",FLASH50K,fixed,50000,200000,2099-06-30,2,"Fill all fields, click Tạo mã","New row appears: FLASH50K | Cố định | 50.000 ₫ | 200.000 ₫ | 2099-06-30 | 2 lần","Baseline happy path for fixed type"
TC-COUPON-ADM-03,Delete an existing coupon,Positive,High,"A coupon named WELCOME20 already exists (e.g. from TC-ADM-01)",WELCOME20,-,-,-,-,-,"Locate the WELCOME20 row, click its Xóa button","Row for WELCOME20 is removed from the table after the list refreshes","Validates the 'Xem/Xóa' half of FR-17; scope the Xóa locator to the row - the label is reused on every admin tab"
TC-COUPON-ADM-04,Duplicate coupon code rejected,Negative,High,"A coupon with code SAVE10 already exists in the system (sample data)",SAVE10,percent,15,100000,2099-12-31,1,"Fill form with the already-used code SAVE10, click Tạo mã","Error alert shown (e.g. 'Lỗi: ...'); no duplicate row is added to the table","Confirms code uniqueness constraint"
TC-COUPON-ADM-05,Empty coupon code blocks submission,Negative,Medium,"Logged in as admin",(empty),percent,10,100000,2099-12-31,1,"Leave code blank, fill the rest, click Tạo mã","HTML5 'required' validation blocks submission; no POST request sent","Client-side required-field check"
TC-COUPON-ADM-06,Empty discount value blocks submission,Negative,Medium,"Logged in as admin",TESTCODE1,percent,(empty),100000,2099-12-31,1,"Leave discount value blank, click Tạo mã","HTML5 'required' validation blocks submission; no POST request sent","Client-side required-field check"
TC-COUPON-ADM-07,Empty expiry date blocks submission,Negative,Medium,"Logged in as admin",TESTCODE2,percent,10,100000,(empty),1,"Leave expiry date blank, click Tạo mã","HTML5 'required' validation blocks submission; no POST request sent","Client-side required-field check"
TC-COUPON-ADM-08,Discount value of zero (not positive),Edge,High,"Logged in as admin",ZERODISC,percent,0,100000,2099-12-31,1,"Enter 0 as discount value, click Tạo mã","Client currently allows submission (no min='1' constraint on this field - known gap); backend MUST reject with an error per FR-17 'discount_value (dương)' and no row should be created","Documents a client-side validation gap; the real assertion is on backend behavior"
TC-COUPON-ADM-09,Negative discount value,Edge,High,"Logged in as admin",NEGDISC,fixed,-15000,100000,2099-12-31,1,"Enter -15000 as discount value, click Tạo mã","Client currently allows submission (no min constraint - known gap); backend MUST reject the negative value and no row should be created","Same validation-gap class as TC-ADM-08"
TC-COUPON-ADM-10,Minimum order amount at boundary zero,Edge,Medium,"Logged in as admin",ZEROMIN,percent,10,0,2099-12-31,1,"Set min order amount to 0, click Tạo mã","Coupon created successfully; row shows '0 ₫' for Đơn tối thiểu (spec allows min_order_amount >= 0)","Validates the inclusive >= 0 boundary is accepted, not rejected"
TC-COUPON-ADM-11,Negative minimum order amount,Edge,High,"Logged in as admin",NEGMIN,percent,10,-50000,2099-12-31,1,"Set min order amount to -50000, click Tạo mã","Client currently allows submission (field isn't even marked required/min - known gap); backend MUST reject and no row should be created","Also exposes that min_order_amount lacks the 'required' attribute entirely, contrary to FR-17's required-field list"
TC-COUPON-ADM-12,Max uses per user below minimum (0),Edge,Medium,"Logged in as admin",ZEROUSES,percent,10,100000,2099-12-31,0,"Set 'Số lần dùng tối đa/người' to 0, click Tạo mã","HTML5 min='1' constraint blocks submission (or backend rejects if bypassed); no row created","Confirms the >= 1 boundary from FR-17"
TC-COUPON-ADM-13,Percent discount value exceeding 100%,Edge,Low,"Logged in as admin",OVER150,percent,150,100000,2099-12-31,1,"Enter 150 as the percent discount value, click Tạo mã","Behavior undefined by spec - document actual result (accepted vs rejected); logically a >100% discount should not be allowed","Spec is silent on an upper bound for percent type - flag as a finding either way"
TC-COUPON-ADM-14,Non-admin token blocked from coupon creation API,Negative,Critical,"Have a valid JWT for a regular (non-admin) user",APIHACK,percent,10,100000,2099-12-31,1,"Send POST /api/admin/coupons directly with the regular user's Authorization header (bypassing the UI)","Request rejected with 401/403; no coupon is created","API-level test for FR-12/SEC-03 - role must be checked server-side, not just token presence"
TC-COUPON-ADM-15,Coupon code auto-uppercased on input,Edge,Low,"Logged in as admin",flashsale,percent,10,100000,2099-12-31,1,"Type the code in lowercase ('flashsale') into the code field","Field value visibly converts to 'FLASHSALE' as it's typed (onChange forces toUpperCase); submitted/stored code is uppercase","Confirms client-side normalization matches the checkout page's matching uppercase behavior"
